Palabras;Valor;General Category;;
fast food',;1;Fast food;;
takeout',;0;;;
pizza',;1;Pizza;American;
sandwich shop',;1;Sandwich;American;
mexican',;1;Mexican;Latin;
american',;1;American;;
caterer',;0;;;
breakfast',;1;Cafe / Breakfast;;
delivery',;0;;;
chinese',;1;Asiatica;;
italian',;1;Italian;;
bar',;1;Bar;;
coffee shop',;1;Cafe / Breakfast;;
pizza delivery',;1;Pizza;;
hamburger',;1;Hamburguer;American;
cafe',;1;Cafe / Breakfast;;
pizza takeout',;1;Pizza;American;
seafood',;1;Seafood;;
asian',;1;Asian;;
convenience store',;0;;;
bakery',;1;Cafe / Breakfast;;
family',;1;Family / Homemade;;
gas station',;0;;;
chicken wings',;1;Chicken;American;
barbecue',;1;BBQ / Grill;;
chicken',;1;Chicken;;
bar & grill',;1;BBQ / Grill;Bar;
japanese',;1;Asian;;
health food',;1;Healthy / Organic;;
deli',;1;Deli;;
sushi',;1;Asian;;
ice cream shop',;1;Sweets / Desserts;;
atm',;0;;;
taco',;1;Taco;Mexican;Latin
lunch',;0;;;
vegetarian',;1;Veggie / Plant based;;
thai',;1;Asian;;
bagel shop',;1;Sweets / Desserts;;
juice shop',;1;Sweets / Desserts;Veggie / Plant based;
latin american',;1;Latin;;
donut shop',;1;Cafe / Breakfast;;
salad shop',;1;Healthy / Organic;Veggie / Plant based;
mediterranean',;1;Mediterranean;;
vegan',;1;Veggie / Plant based;;
indian',;1;Asian;;
brunch',;1;Cafe / Breakfast;;
dessert',;1;Sweets / Desserts;;
sports bar',;0;;;
vietnamese',;1;Asian;;
steak house',;1;Meat / Steak house;BBQ / Grill;
dessert shop',;1;Sweets / Desserts;;
diner',;1;American;;
espresso bar',;1;Bar;;
delivery service',;0;;;
coffee store',;1;Cafe / Breakfast;;
asian fusion',;1;Asian;;
wine bar',;1;Bar;;
tex-mex',;1;Mexican;Latin;
cocktail bar',;1;Bar;;Latin
burrito',;1;Taco;Mexican;
fine dining',;1;Fancy / Gourmet;;
gluten-free',;1;Fancy / Gourmet;;
buffet',;0;;;
event venue',;0;;;
korean',;1;Asian;;
grocery store',;0;;;
southern (us)',;1;American;;
lounge',;1;Fancy / Gourmet;;
internet cafe',;1;Cafe / Breakfast;;
supply store',;0;;;
catering food and drink supplier',;0;;;
greek',;1;Mediterranea;;
new american',;1;American;;
cheesesteak',;1;Meat / Steak house;;
hot dog',;1;Fast food;American;
halal',;1;Asian;;
middle eastern',;1;Asian;;
soul food',;1;American;;
frozen yogurt shop',;1;Sweets / Desserts;;
beer store',;1;Bar;;
cajun',;1;European;;
pasta shop',;1;Italian;;
pub',;1;Bar;;
cake shop',;1;Sweets / Desserts;;
caribbean',;1;Latin;;
soup',;1;Healthy / Organic;;
car wash',;0;;;
snack bar',;1;Bar;;
bistro',;1;Fancy / Gourmet;;
live music venue',;0;;;
jamaican',;1;Latin;;
salvadoran',;1;Latin;;
french',;1;European;;
hawaiian',;1;American;;
